noun-noun phrase frequencies
noun-noun phrases,frequencies
“ma chère”—he,1
everyone,1
exception,1
the slightest variation,1
his tone,1
they,1
him,1
you,1
myself,1
our two dear ones,1
whose name,1
we,1
you,1
dinner,1
i,1
ma chère,1
behalf,1
the whole family,1
i,1
you,1
these words,1
he,1
everyone,1
exception,1
variation,1
the same expression,1
"his full, cheerful, clean-shaven face",1
"the
same firm pressure",1
the hand,1
"the same quick, repeated bows",1
he,1
a visitor,1
he,1
who,1
the drawing room,1
a chair,1
him,1
her,1
his legs,1
his hands,1
his knees,1
the air,1
a man,1
who,1
life,1
he,1
dignity,1
surmises,1
the weather,1
questions,1
health,1
russian,1
self-confident french,1
a man,1
the fulfillment,1
duty,1
he,1
some visitors,1
his scanty gray hairs,1
his bald patch,1
them,1
dinner,1
his way,1
the anteroom,1
he,1
"the
conservatory",1
pantry,1
the large marble dining hall,1
tables,1
eighty people,1
the footmen,1
who,1
silver,1
china,1
tables,1
damask,1
table linen,1
he,1
dmítri vasílevich,1
a man,1
good family,1
the manager,1
